=== Fehlerprotokoll abgelehnter Datensätze ===
ERROR | Datei: leipzig_transformed.xml | Zeile: 47 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00004RIN0 | Datensatz: B00004RIN0
ERROR | Datei: leipzig_transformed.xml | Zeile: 48 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0000CFYEJ | Datensatz: B0000CFYEJ
ERROR | Datei: leipzig_transformed.xml | Zeile: 48 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0000VS0HE | Datensatz: B0000VS0HE
ERROR | Datei: leipzig_transformed.xml | Zeile: 49 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B00007G75C | Datensatz: B00007G75C
ERROR | Datei: leipzig_transformed.xml | Zeile: 49 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002H24N2 | Datensatz: B0002H24N2
ERROR | Datei: leipzig_transformed.xml | Zeile: 49 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002JZ32E | Datensatz: B0002JZ32E
ERROR | Datei: leipzig_transformed.xml | Zeile: 50 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B00008PZW9 | Datensatz: B00008PZW9
ERROR | Datei: leipzig_transformed.xml | Zeile: 51 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002TB6L6 | Datensatz: B0002TB6L6
ERROR | Datei: leipzig_transformed.xml | Zeile: 54 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000025GJM | Datensatz: B000025GJM
ERROR | Datei: leipzig_transformed.xml | Zeile: 54 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000025OBV | Datensatz: B000025OBV
ERROR | Datei: leipzig_transformed.xml | Zeile: 55 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000BSNPR6 | Datensatz: B000BSNPR6
ERROR | Datei: leipzig_transformed.xml | Zeile: 56 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0009RNL9G | Datensatz: B0009RNL9G
ERROR | Datei: leipzig_transformed.xml | Zeile: 58 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B00015M854 | Datensatz: B00015M854
ERROR | Datei: leipzig_transformed.xml | Zeile: 59 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00016UZB2 | Datensatz: B00016UZB2
ERROR | Datei: leipzig_transformed.xml | Zeile: 59 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002DSBXI | Datensatz: B0002DSBXI
ERROR | Datei: leipzig_transformed.xml | Zeile: 59 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002VK5G6 | Datensatz: B0002VK5G6
ERROR | Datei: leipzig_transformed.xml | Zeile: 59 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00064RU2Q | Datensatz: B00064RU2Q
